재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 반기말	전기말	전전기말	
 포괄손익계산서, 증권 - 별도	[null]	리딩투자증권	기타법인	661	금융 지원 서비스업	03	2023-09-30	반기보고서	KRW	dart_GainFromFinancialInstruments	      금융상품관련수익	53,848,270,838		
 포괄손익계산서, 증권 - 별도	[null]	리딩투자증권	기타법인	661	금융 지원 서비스업	03	2023-09-30	반기보고서	KRW	dart_GainFromFinancialInstrumentsAtFairValueThroughProfitOrLoss	         당기손익-공정가치측정금융상품관련이익	53,848,270,838		
 포괄손익계산서, 증권 - 별도	[null]	리딩투자증권	기타법인	661	금융 지원 서비스업	03	2023-09-30	반기보고서	KRW	dart_LossFromFinancialInstruments	      금융상품관련비용	47,064,065,449		
 포괄손익계산서, 증권 - 별도	[null]	리딩투자증권	기타법인	661	금융 지원 서비스업	03	2023-09-30	반기보고서	KRW	dart_LossFromFinancialInstrumentsAtFairValueThroughProfitOrLoss	         당기손익-공정가치측정금융상품관련손실	47,064,065,449		
 포괄손익계산서, 증권 - 별도	[null]	리딩투자증권	기타법인	661	금융 지원 서비스업	03	2023-09-30	반기보고서	KRW	dart_NonOperatingExpense	      영업외비용	709,621		
 포괄손익계산서, 증권 - 별도	[null]	리딩투자증권	기타법인	661	금융 지원 서비스업	03	2023-09-30	반기보고서	KRW	dart_NonOperatingIncome	      영업외수익	582,055,649		
 포괄손익계산서, 증권 - 별도	[null]	리딩투자증권	기타법인	661	금융 지원 서비스업	03	2023-09-30	반기보고서	KRW	dart_OtherOperatingExpense	      기타영업비용	99,812,794		
 포괄손익계산서, 증권 - 별도	[null]	리딩투자증권	기타법인	661	금융 지원 서비스업	03	2023-09-30	반기보고서	KRW	ifrs-full_ForeignExchangeLoss	         외환거래손실	89,548,759		
 포괄손익계산서, 증권 - 별도	[null]	리딩투자증권	기타법인	661	금융 지원 서비스업	03	2023-09-30	반기보고서	KRW	ifrs-full_MiscellaneousOtherOperatingExpense	         기타비용	10,264,035		
 포괄손익계산서, 증권 - 별도	[null]	리딩투자증권	기타법인	661	금융 지원 서비스업	03	2023-09-30	반기보고서	KRW	dart_OtherOperatingIncome	      기타영업수익	3,430,930,710		
 포괄손익계산서, 증권 - 별도	[null]	리딩투자증권	기타법인	661	금융 지원 서비스업	03	2023-09-30	반기보고서	KRW	ifrs-full_ForeignExchangeGain	         외환거래이익	21,370,055		
