재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 1분기말	전기말	전전기말	
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2024-03-31	1분기보고서	KRW	dart_OtherOperatingIncome	      기타영업수익	160,029,082,076		
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2024-03-31	1분기보고서	KRW	ifrs-full_AdditionalAllowanceRecognisedInProfitOrLossAllowanceAccountForCreditLossesOfFinancialAssets	      신용손실충당금 전입액	20,350,353,186		
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2024-03-31	1분기보고서	KRW	ifrs-full_ComprehensiveIncome	      총포괄손익	38,325,039,707		
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2024-03-31	1분기보고서	KRW	ifrs-full_BasicEarningsLossPerShare	         보통주기본주당이익(손실)	628		
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2024-03-31	1분기보고서	KRW	ifrs-full_DilutedEarningsLossPerShare	         보통주희석주당이익(손실)	628		
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2024-03-31	1분기보고서	KRW	ifrs-full_FeeAndCommissionIncomeExpense	      순수수료손익	10,481,292,395		
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2024-03-31	1분기보고서	KRW	ifrs-full_FeeAndCommissionExpense	         수수료비용	2,668,603,347		
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2024-03-31	1분기보고서	KRW	ifrs-full_FeeAndCommissionIncome	         수수료수익	13,149,895,742		
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2024-03-31	1분기보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	      법인세비용	11,909,462,100		
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2024-03-31	1분기보고서	KRW	ifrs-full_InterestRevenueExpense	      순이자손익	68,116,292,588		
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2024-03-31	1분기보고서	KRW	ifrs-full_InterestExpense	         이자비용	75,631,636,774		
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2024-03-31	1분기보고서	KRW	ifrs-full_RevenueFromInterest	         이자수익	143,747,929,362		
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2024-03-31	1분기보고서	KRW	ifrs-full_OtherComprehensiveIncome	      기타포괄손익	-828,072,952		
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2024-03-31	1분기보고서	KRW	ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans	            확정급여제도의재측정요소	-828,072,952		
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2024-03-31	1분기보고서	KRW	ifrs-full_ProfitLoss	      당기순이익(손실)	39,153,112,659		
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2024-03-31	1분기보고서	KRW	ifrs-full_ProfitLossBeforeTax	      법인세차감전순이익	51,062,574,759		
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2024-03-31	1분기보고서	KRW	ifrs-full_ProfitLossFromOperatingActivities	      영업이익(손실)	51,655,199,458		
 포괄손익계산서, 기타 - 별도	[null]	BNK캐피탈	기타법인	649	기타 금융업	12	2024-03-31	1분기보고서	KRW	ifrs-full_SellingGeneralAndAdministrativeExpense	      일반관리비	23,066,702,557		
 포괄손익계산서, 기타 - 별도	[139130]	DGB금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-03-31	1분기보고서	KRW	dart_GainLossFromFinancialInstrumentsAtFairValueThroughProfitOrLoss	      당기손익-공정가치측정 금융상품관련 순이익(손실)	-10,462,783,942		
 포괄손익계산서, 기타 - 별도	[139130]	DGB금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-03-31	1분기보고서	KRW	dart_NonOperatingProfitLoss	      영업외순이익(손실)	-303,346,531		
 포괄손익계산서, 기타 - 별도	[139130]	DGB금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-03-31	1분기보고서	KRW	ifrs-full_BasicEarningsLossPerShare	      보통주기본주당이익(손실)	-172		
 포괄손익계산서, 기타 - 별도	[139130]	DGB금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-03-31	1분기보고서	KRW	ifrs-full_ComprehensiveIncome	      총포괄손익	-22,137,907,606		
 포괄손익계산서, 기타 - 별도	[139130]	DGB금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-03-31	1분기보고서	KRW	ifrs-full_FeeAndCommissionIncomeExpense	      순수수료손익	-663,809,789		
 포괄손익계산서, 기타 - 별도	[139130]	DGB금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-03-31	1분기보고서	KRW	ifrs-full_FeeAndCommissionExpense	         수수료비용	852,724,475		
 포괄손익계산서, 기타 - 별도	[139130]	DGB금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-03-31	1분기보고서	KRW	ifrs-full_FeeAndCommissionIncome	         수수료수익	188,914,686		
 포괄손익계산서, 기타 - 별도	[139130]	DGB금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-03-31	1분기보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	      법인세비용(수익)	-2,516,473,166		
 포괄손익계산서, 기타 - 별도	[139130]	DGB금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-03-31	1분기보고서	KRW	ifrs-full_InterestRevenueExpense	      순이자손익	-7,038,014,523		
 포괄손익계산서, 기타 - 별도	[139130]	DGB금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-03-31	1분기보고서	KRW	ifrs-full_InterestExpense	         이자비용	8,442,978,158		
 포괄손익계산서, 기타 - 별도	[139130]	DGB금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-03-31	1분기보고서	KRW	ifrs-full_RevenueFromInterest	         이자수익	1,404,963,635		
 포괄손익계산서, 기타 - 별도	[139130]	DGB금융지주	유가증권시장상장법인	649	기타 금융업	12	2024-03-31	1분기보고서	KRW	ifrs-full_OtherComprehensiveIncome	      기타포괄손익	0		
