재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 1분기말	전기말	전전기말	
 포괄손익계산서, 증권 - 별도	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	dart_GainLossFromFinancialInstruments	      금융상품관련순손익	37,289,853,067		
 포괄손익계산서, 증권 - 별도	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	dart_GainFromFinancialInstruments	         금융상품평가및처분이익	220,930,299,458		
 포괄손익계산서, 증권 - 별도	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	dart_LossFromFinancialInstruments	         금융상품평가및처분손실	183,640,446,391		
 포괄손익계산서, 증권 - 별도	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	dart_NonOperatingExpense	      영업외비용	561,742,840		
 포괄손익계산서, 증권 - 별도	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	dart_NonOperatingIncome	      영업외수익	541,717,573		
 포괄손익계산서, 증권 - 별도	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	entity00251400_udf_IS_202383093738990OfStatementOfComprehensiveIncomeAbstract	      대출채권관련순손익	-42,445,352,696		
 포괄손익계산서, 증권 - 별도	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	entity00251400_GainFromLoansOfudf_IS_202383093738990OfStatementOfComprehensiveIncomeAbstract	         대출채권관련이익	0		
 포괄손익계산서, 증권 - 별도	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	entity00251400_LossFromLoansOfudf_IS_202383093738990OfStatementOfComprehensiveIncomeAbstract	         대출채권관련손실	42,445,352,696		
 포괄손익계산서, 증권 - 별도	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_ComprehensiveIncome	      총포괄손익	2,974,653,791		
 포괄손익계산서, 증권 - 별도	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_FeeAndCommissionIncomeExpense	      순수수료손익	18,897,024,699		
 포괄손익계산서, 증권 - 별도	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_FeeAndCommissionExpense	         수수료비용	5,178,337,230		
 포괄손익계산서, 증권 - 별도	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_FeeAndCommissionIncome	         수수료수익	24,075,361,929		
 포괄손익계산서, 증권 - 별도	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	      법인세비용	4,145,808,944		
 포괄손익계산서, 증권 - 별도	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_InterestRevenueExpense	      순이자손익	16,152,764,279		
 포괄손익계산서, 증권 - 별도	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_InterestExpense	         이자비용	32,347,897,124		
 포괄손익계산서, 증권 - 별도	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_RevenueFromInterest	         이자수익	48,500,661,403		
 포괄손익계산서, 증권 - 별도	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_InterestIncomeOnFinancialAssetsDesignatedAtFairValueThroughProfitOrLoss	            당기손익-공정가치금융자산이자수익	32,201,392,631		
 포괄손익계산서, 증권 - 별도	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_InterestRevenueCalculatedUsingEffectiveInterestMethod	            상각후원가및기타포괄손익공정가치측정금융자산이자수익	16,299,268,772		
 포괄손익계산서, 증권 - 별도	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_OperatingExpense	      영업비용	288,200,835,115		
 포괄손익계산서, 증권 - 별도	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_OtherComprehensiveIncome	      기타포괄손익	-12,348,686,071		
 포괄손익계산서, 증권 - 별도	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_OtherComprehensiveIncomeBeforeTaxFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome	            기타포괄손익-공정가치금융자산(채무증권)평가손익	-11,622,269,464		
 포괄손익계산서, 증권 - 별도	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_OtherComprehensiveIncomeNetOfTaxChangeInFairValueOfFinancialLiabilityAttributableToChangeInCreditRiskOfLiability	            당기손익-공정가치측정금융부채 신용위험변동	-942,855,900		
 포괄손익계산서, 증권 - 별도	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesFromInvestmentsInEquityInstruments	            기타포괄손익-공정가치금융자산(지분증권)평가손익	434,213,215		
 포괄손익계산서, 증권 - 별도	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans	            확정급여제도의재측정요소	-217,773,922		
 포괄손익계산서, 증권 - 별도	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_OtherOperatingIncomeExpense	      기타영업손익	13,765,534,676		
 포괄손익계산서, 증권 - 별도	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	dart_OtherOperatingExpense	         기타영업비용	418,151,722		
 포괄손익계산서, 증권 - 별도	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_ForeignExchangeLoss	            외화거래손실	380,078,472		
 포괄손익계산서, 증권 - 별도	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_MiscellaneousOtherOperatingExpense	            기타영업비용	38,073,250		
 포괄손익계산서, 증권 - 별도	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	dart_OtherOperatingIncome	         기타영업수익	14,183,686,398		
 포괄손익계산서, 증권 - 별도	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_ForeignExchangeGain	            외화거래이익	697,289,431		
 포괄손익계산서, 증권 - 별도	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_MiscellaneousOtherOperatingIncome	            기타영업수익	13,486,396,967		
 포괄손익계산서, 증권 - 별도	[null]	BNK투자증권	기타법인	661	금융 지원 서비스업	12	2024-03-31	1분기보고서	KRW	ifrs-full_ProfitLoss	      당기순이익(손실)	15,323,339,862		
